contributors,truncated,text,in_reply_to_status_id,id,favorite_count,source,retweeted,coordinates,entities,in_reply_to_screen_name,id_str,retweet_count,in_reply_to_user_id,favorited,user,geo,in_reply_to_user_id_str,possibly_sensitive,lang,created_at,filter_level,in_reply_to_status_id_str,place,metadata,extended_entities
,False,MT @euronews France: 10 dead after shooting at HQ of satirical weekly #CharlieHebdo. If Zionists/Jews did this they'd be nuking Israel,552783667052167168,552785374507175936,2,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,"{'symbols': [], 'user_mentions': [{'id': 25067168, 'indices': [3, 12], 'id_str': '25067168', 'screen_name': 'euronews', 'name': 'euronews'}], 'hashtags': [{'indices': [70, 83], 'text': 'CharlieHebdo'}], 'urls': []}",euronews,552785374507175936,1,25067168,False,"{'follow_request_sent': False, 'profile_use_background_image': True, 'profile_text_color': '333333', 'default_profile_image': False, 'id': 76987535, 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/202498275/x27490efa495e001b15c993dabaafc03.png', 'verified': False, 'profile_location': None, 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/545507196218249216/hLPgujDF_normal.jpeg', 'profile_sidebar_fill_color': 'DDEEF6', 'entities': {'url': {'urls': [{'url': 'http://t.co/229QxnfsSr', 'indices': [0, 22], 'expanded_url': 'http://www.JonathanDavisWM.Wordpress.com', 'display_url': 'JonathanDavisWM.Wordpress.com'}]}, 'description': {'urls': []}}, 'followers_count': 1828, 'profile_sidebar_border_color': 'C0DEED', 'id_str': '76987535', 'profile_background_color': 'C0DEED', 'listed_count': 68, 'is_translation_enabled': False, 'utc_offset': 0, 'statuses_count': 29365, 'description': ""Economist/Wealth Mgr. Speaker. Media pundit.  Rule#1:Don't Lose Money. Rule#2:See Rule#1\r\nDemocracy leads to Marxism/Fascism. Discuss."", 'friends_count': 511, 'location': ""SouthEast UK (Isn't everyone?)"", 'profile_link_color': '0084B4', 'profile_image_url': 'http://pbs.twimg.com/profile_images/545507196218249216/hLPgujDF_normal.jpeg', 'following': False, 'geo_enabled': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/76987535/1398240763', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/202498275/x27490efa495e001b15c993dabaafc03.png', 'name': 'Jonathan Davis', 'lang': 'en', 'profile_background_tile': True, 'favourites_count': 469, 'screen_name': 'J0nathanDavis', 'notifications': False, 'url': 'http://t.co/229QxnfsSr', 'created_at': 'Thu Sep 24 17:01:05 +0000 2009', 'contributors_enabled': False, 'time_zone': 'Europe/London', 'protected': False, 'default_profile': False, 'is_translator': False}",,25067168,,en,Wed Jan 07 11:14:38 +0000 2015,,552783667052167168,,,
,False,@j0nathandavis They who? Stupid and partial opinions like this one only add noise to any debate.,552785374507175936,552786226546495488,0,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",False,,"{'symbols': [], 'user_mentions': [{'id': 76987535, 'indices': [0, 14], 'id_str': '76987535', 'screen_name': 'J0nathanDavis', 'name': 'Jonathan Davis'}], 'hashtags': [], 'urls': []}",J0nathanDavis,552786226546495488,0,76987535,False,"{'follow_request_sent': False, 'profile_use_background_image': True, 'profile_text_color': '666666', 'default_profile_image': False, 'id': 33668152, 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/564436409/vectorial_myself4.png', 'verified': False, 'profile_location': None, 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/542079159158439936/4xK1kHen_normal.jpeg', 'profile_sidebar_fill_color': '252429', 'entities': {'description': {'urls': []}}, 'followers_count': 405, 'profile_sidebar_border_color': 'FFFFFF', 'id_str': '33668152', 'profile_background_color': 'FFFFFF', 'listed_count': 20, 'is_translation_enabled': False, 'utc_offset': 3600, 'statuses_count': 19730, 'description': 'No se respetan opiniones aquí. Luchando contra los -ismos y trolleando los días pares.', 'friends_count': 463, 'location': 'somewhere in anywhere', 'profile_link_color': '0088FF', 'profile_image_url': 'http://pbs.twimg.com/profile_images/542079159158439936/4xK1kHen_normal.jpeg', 'following': False, 'geo_enabled': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/33668152/1398287778', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/564436409/vectorial_myself4.png', 'name': 'nanoSpawn', 'lang': 'en', 'profile_background_tile': False, 'favourites_count': 2829, 'screen_name': 'nanoSpawn', 'notifications': False, 'url': None, 'created_at': 'Mon Apr 20 21:20:19 +0000 2009', 'contributors_enabled': False, 'time_zone': 'Madrid', 'protected': False, 'default_profile': False, 'is_translator': False}",,76987535,,en,Wed Jan 07 11:18:01 +0000 2015,,552785374507175936,,,
,False,@euronews @Massimilian2611 ci vuole una nuova crociata partendo da casa nostra...e lo dico io che non sono cattolico,552783667052167168,552789153403109376,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,"{'symbols': [], 'user_mentions': [{'id': 25067168, 'indices': [0, 9], 'id_str': '25067168', 'screen_name': 'euronews', 'name': 'euronews'}, {'id': 504770652, 'indices': [10, 26], 'id_str': '504770652', 'screen_name': 'Massimilian2611', 'name': 'Massimiliano Zirone'}], 'hashtags': [], 'urls': []}",euronews,552789153403109376,0,25067168,False,"{'follow_request_sent': False, 'profile_use_background_image': True, 'profile_text_color': '333333', 'default_profile_image': False, 'id': 993859812, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'verified': False, 'profile_location': None, 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000415021573/3465bbd55d07e9cb40c1e406e20bed27_normal.jpeg', 'profile_sidebar_fill_color': 'DDEEF6', 'entities': {'description': {'urls': []}}, 'followers_count': 66, 'profile_sidebar_border_color': 'C0DEED', 'id_str': '993859812', 'profile_background_color': 'C0DEED', 'listed_count': 0, 'is_translation_enabled': False, 'utc_offset': None, 'statuses_count': 354, 'description': '', 'friends_count': 231, 'location': '', 'profile_link_color': '0084B4', 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000415021573/3465bbd55d07e9cb40c1e406e20bed27_normal.jpeg', 'following': False, 'geo_enabled': False, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/993859812/1365492913', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'name': 'Igor Perfetti', 'lang': 'it', 'profile_background_tile': False, 'favourites_count': 107, 'screen_name': 'igor_perfetti', 'notifications': False, 'url': None, 'created_at': 'Thu Dec 06 21:32:55 +0000 2012', 'contributors_enabled': False, 'time_zone': None, 'protected': False, 'default_profile': True, 'is_translator': False}",,25067168,,it,Wed Jan 07 11:29:39 +0000 2015,,552783667052167168,,,
,False,"@nanoSpawn Socialists, Antisemites, anti zionists - usual suspects",552786226546495488,552789345628069888,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,"{'symbols': [], 'user_mentions': [{'id': 33668152, 'indices': [0, 10], 'id_str': '33668152', 'screen_name': 'nanoSpawn', 'name': 'nanoSpawn'}], 'hashtags': [], 'urls': []}",nanoSpawn,552789345628069888,0,33668152,False,"{'follow_request_sent': False, 'profile_use_background_image': True, 'profile_text_color': '333333', 'default_profile_image': False, 'id': 76987535, 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/202498275/x27490efa495e001b15c993dabaafc03.png', 'verified': False, 'profile_location': None, 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/545507196218249216/hLPgujDF_normal.jpeg', 'profile_sidebar_fill_color': 'DDEEF6', 'entities': {'url': {'urls': [{'url': 'http://t.co/229QxnfsSr', 'indices': [0, 22], 'expanded_url': 'http://www.JonathanDavisWM.Wordpress.com', 'display_url': 'JonathanDavisWM.Wordpress.com'}]}, 'description': {'urls': []}}, 'followers_count': 1828, 'profile_sidebar_border_color': 'C0DEED', 'id_str': '76987535', 'profile_background_color': 'C0DEED', 'listed_count': 68, 'is_translation_enabled': False, 'utc_offset': 0, 'statuses_count': 29365, 'description': ""Economist/Wealth Mgr. Speaker. Media pundit.  Rule#1:Don't Lose Money. Rule#2:See Rule#1\r\nDemocracy leads to Marxism/Fascism. Discuss."", 'friends_count': 511, 'location': ""SouthEast UK (Isn't everyone?)"", 'profile_link_color': '0084B4', 'profile_image_url': 'http://pbs.twimg.com/profile_images/545507196218249216/hLPgujDF_normal.jpeg', 'following': False, 'geo_enabled': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/76987535/1398240763', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/202498275/x27490efa495e001b15c993dabaafc03.png', 'name': 'Jonathan Davis', 'lang': 'en', 'profile_background_tile': True, 'favourites_count': 469, 'screen_name': 'J0nathanDavis', 'notifications': False, 'url': 'http://t.co/229QxnfsSr', 'created_at': 'Thu Sep 24 17:01:05 +0000 2009', 'contributors_enabled': False, 'time_zone': 'Europe/London', 'protected': False, 'default_profile': False, 'is_translator': False}",,33668152,,en,Wed Jan 07 11:30:24 +0000 2015,,552786226546495488,,,
,False,@Nuno_Rodrigo5 @euronews islamistas o taraos?,552783667052167168,552790281276628992,0,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",False,,"{'symbols': [], 'user_mentions': [{'id': 409878867, 'indices': [0, 14], 'id_str': '409878867', 'screen_name': 'Nuno_Rodrigo5', 'name': 'Nuño Rodrigo'}, {'id': 25067168, 'indices': [15, 24], 'id_str': '25067168', 'screen_name': 'euronews', 'name': 'euronews'}], 'hashtags': [], 'urls': []}",euronews,552790281276628992,0,25067168,False,"{'follow_request_sent': False, 'profile_use_background_image': True, 'profile_text_color': '333333', 'default_profile_image': False, 'id': 370666310, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'verified': False, 'profile_location': None, 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1618614391/image_normal.jpg', 'profile_sidebar_fill_color': 'DDEEF6', 'entities': {'description': {'urls': []}}, 'followers_count': 128, 'profile_sidebar_border_color': 'C0DEED', 'id_str': '370666310', 'profile_background_color': 'C0DEED', 'listed_count': 6, 'is_translation_enabled': False, 'utc_offset': None, 'statuses_count': 2925, 'description': 'a la venta en las mejores librerias :)', 'friends_count': 464, 'location': 'aqui y alli', 'profile_link_color': '0084B4', 'profile_image_url': 'http://pbs.twimg.com/profile_images/1618614391/image_normal.jpg', 'following': False, 'geo_enabled': False, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'name': 'Mitro', 'lang': 'es', 'profile_background_tile': False, 'favourites_count': 306, 'screen_name': 'Yo_Mitro', 'notifications': False, 'url': None, 'created_at': 'Fri Sep 09 12:29:47 +0000 2011', 'contributors_enabled': False, 'time_zone': None, 'protected': False, 'default_profile': True, 'is_translator': False}",,25067168,,es,Wed Jan 07 11:34:08 +0000 2015,,552783667052167168,,,
,False,@euronews @TradeDesk_Steve A French crime of passion or another heathen moslem atrocity?,552783667052167168,552792862610694144,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,"{'symbols': [], 'user_mentions': [{'id': 25067168, 'indices': [0, 9], 'id_str': '25067168', 'screen_name': 'euronews', 'name': 'euronews'}, {'id': 316485110, 'indices': [10, 26], 'id_str': '316485110', 'screen_name': 'TradeDesk_Steve', 'name': 'Steve Collins'}], 'hashtags': [], 'urls': []}",euronews,552792862610694144,0,25067168,False,"{'follow_request_sent': False, 'profile_use_background_image': True, 'profile_text_color': '333333', 'default_profile_image': False, 'id': 1550984940, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'verified': False, 'profile_location': None, 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/378800000054905677/d150def502934ace77985e096548018d_normal.jpeg', 'profile_sidebar_fill_color': 'DDEEF6', 'entities': {'url': {'urls': [{'url': 'http://t.co/l9luX4fUpE', 'indices': [0, 22], 'expanded_url': 'http://es.linkedin.com/pub/drew-edgar/1/993/99a', 'display_url': 'es.linkedin.com/pub/drew-edgar…'}]}, 'description': {'urls': []}}, 'followers_count': 26, 'profile_sidebar_border_color': 'C0DEED', 'id_str': '1550984940', 'profile_background_color': 'C0DEED', 'listed_count': 1, 'is_translation_enabled': False, 'utc_offset': 0, 'statuses_count': 2176, 'description': 'Principal Managing Consultant  at  CHASE BUCKLEY, 30 years in the City. Newcastle Business School & Aston Business School Alumnus', 'friends_count': 56, 'location': 'Continental Europe', 'profile_link_color': '0084B4', 'profile_image_url': 'http://pbs.twimg.com/profile_images/378800000054905677/d150def502934ace77985e096548018d_normal.jpeg', 'following': False, 'geo_enabled': True, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'name': 'Drew Edgar', 'lang': 'en', 'profile_background_tile': False, 'favourites_count': 11, 'screen_name': 'DrewEdgar_CB', 'notifications': False, 'url': 'http://t.co/l9luX4fUpE', 'created_at': 'Thu Jun 27 16:34:58 +0000 2013', 'contributors_enabled': False, 'time_zone': 'London', 'protected': False, 'default_profile': True, 'is_translator': False}",,25067168,,en,Wed Jan 07 11:44:23 +0000 2015,,552783667052167168,,,
,False,"@euronews LOL. 5 million Muslims in France, what a disgrace. the french worm president and politicians killed them. tine for croissants now",552783667052167168,552943855021330432,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,"{'symbols': [], 'user_mentions': [{'id': 25067168, 'indices': [0, 9], 'id_str': '25067168', 'screen_name': 'euronews', 'name': 'euronews'}], 'hashtags': [], 'urls': []}",euronews,552943855021330432,0,25067168,False,"{'follow_request_sent': False, 'profile_use_background_image': True, 'profile_text_color': '333333', 'default_profile_image': False, 'id': 1867323613, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'verified': False, 'profile_location': None, 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/489302363526533120/WkOrHy0W_normal.jpeg', 'profile_sidebar_fill_color': 'DDEEF6', 'entities': {'description': {'urls': []}}, 'followers_count': 14, 'profile_sidebar_border_color': 'C0DEED', 'id_str': '1867323613', 'profile_background_color': 'C0DEED', 'listed_count': 1, 'is_translation_enabled': False, 'utc_offset': -14400, 'statuses_count': 912, 'description': '', 'friends_count': 150, 'location': 'Europe', 'profile_link_color': '0084B4', 'profile_image_url': 'http://pbs.twimg.com/profile_images/489302363526533120/WkOrHy0W_normal.jpeg', 'following': False, 'geo_enabled': False, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'name': 'NeoSkywalker', 'lang': 'en', 'profile_background_tile': False, 'favourites_count': 45, 'screen_name': 'NeoSkywalker13', 'notifications': False, 'url': None, 'created_at': 'Sun Sep 15 11:02:17 +0000 2013', 'contributors_enabled': False, 'time_zone': 'Atlantic Time (Canada)', 'protected': False, 'default_profile': True, 'is_translator': False}",,25067168,,en,Wed Jan 07 21:44:22 +0000 2015,,552783667052167168,,,
,False,"France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58",,552783667052167168,38,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",False,,"{'symbols': [], 'user_mentions': [], 'hashtags': [{'indices': [74, 87], 'text': 'CharlieHebdo'}], 'urls': [], 'media': [{'expanded_url': 'http://twitter.com/euronews/status/552783667052167168/photo/1', 'display_url': 'pic.twitter.com/FkYxGmuS58', 'url': 'http://t.co/FkYxGmuS58', 'media_url_https': 'https://pbs.twimg.com/media/B6vhzVDCAAArnxh.jpg', 'id_str': '552783651222454272', 'sizes': {'small': {'h': 191, 'resize': 'fit', 'w': 340}, 'large': {'h': 576, 'resize': 'fit', 'w': 1024}, 'medium': {'h': 337, 'resize': 'fit', 'w': 600}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'indices': [112, 134], 'type': 'photo', 'id': 552783651222454272, 'media_url': 'http://pbs.twimg.com/media/B6vhzVDCAAArnxh.jpg'}]}",,552783667052167168,486,,False,"{'follow_request_sent': False, 'profile_use_background_image': True, 'profile_text_color': '757175', 'default_profile_image': False, 'id': 25067168, 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/450916122896760832/zEPsIgMF.png', 'verified': True, 'profile_location': None, 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/578955751508574208/cBkd0ibC_normal.png', 'profile_sidebar_fill_color': 'E8E8E8', 'entities': {'url': {'urls': [{'url': 'http://t.co/tLR3OKNe0U', 'indices': [0, 22], 'expanded_url': 'http://www.euronews.com/', 'display_url': 'euronews.com'}]}, 'description': {'urls': [{'url': 'http://t.co/oJUYq0FdJC', 'indices': [77, 99], 'expanded_url': 'http://eurone.ws/BDtH7', 'display_url': 'eurone.ws/BDtH7'}]}}, 'followers_count': 129573, 'profile_sidebar_border_color': 'FFFFFF', 'id_str': '25067168', 'profile_background_color': '969698', 'listed_count': 4085, 'is_translation_enabled': False, 'utc_offset': 3600, 'statuses_count': 48440, 'description': 'Most watched news channel in Europe. We tweet in 13 languages. Choose yours: http://t.co/oJUYq0FdJC', 'friends_count': 337, 'location': 'Europe', 'profile_link_color': '0084B4', 'profile_image_url': 'http://pbs.twimg.com/profile_images/578955751508574208/cBkd0ibC_normal.png', 'following': False, 'geo_enabled': False, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/25067168/1416910279', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/450916122896760832/zEPsIgMF.png', 'name': 'euronews', 'lang': 'en', 'profile_background_tile': False, 'favourites_count': 615, 'screen_name': 'euronews', 'notifications': False, 'url': 'http://t.co/tLR3OKNe0U', 'created_at': 'Wed Mar 18 12:57:11 +0000 2009', 'contributors_enabled': False, 'time_zone': 'Paris', 'protected': False, 'default_profile': False, 'is_translator': False}",,,False,en,Wed Jan 07 11:07:51 +0000 2015,,,,,"{'media': [{'expanded_url': 'http://twitter.com/euronews/status/552783667052167168/photo/1', 'display_url': 'pic.twitter.com/FkYxGmuS58', 'url': 'http://t.co/FkYxGmuS58', 'media_url_https': 'https://pbs.twimg.com/media/B6vhzVDCAAArnxh.jpg', 'id_str': '552783651222454272', 'sizes': {'small': {'h': 191, 'resize': 'fit', 'w': 340}, 'large': {'h': 576, 'resize': 'fit', 'w': 1024}, 'medium': {'h': 337, 'resize': 'fit', 'w': 600}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'indices': [112, 134], 'type': 'photo', 'id': 552783651222454272, 'media_url': 'http://pbs.twimg.com/media/B6vhzVDCAAArnxh.jpg'}]}"
,False,@Independent How dreadful.,552785375161499649,552785851655393281,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,"{'symbols': [], 'user_mentions': [{'id': 16973333, 'indices': [0, 12], 'id_str': '16973333', 'screen_name': 'Independent', 'name': 'The Independent'}], 'hashtags': [], 'urls': []}",Independent,552785851655393281,0,16973333,False,"{'follow_request_sent': False, 'profile_use_background_image': True, 'profile_text_color': '3C3940', 'default_profile_image': False, 'id': 18770158, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme4/bg.gif', 'verified': False, 'profile_location': None, 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/534076979893387264/yGDL1Lrx_normal.jpeg', 'profile_sidebar_fill_color': '95E8EC', 'entities': {'url': {'urls': [{'url': 'http://t.co/9OwFICIrcX', 'indices': [0, 22], 'expanded_url': 'http://my.telegraph.co.uk', 'display_url': 'my.telegraph.co.uk'}]}, 'description': {'urls': []}}, 'followers_count': 268, 'profile_sidebar_border_color': 'FFFFFF', 'id_str': '18770158', 'profile_background_color': '0099B9', 'listed_count': 13, 'is_translation_enabled': False, 'utc_offset': 0, 'statuses_count': 8350, 'description': 'Freelance writer/,judge for the Royal Commonwealth society.Regular guest at BBC Somerset. Blogger on My Telegraph.Passionate about NHS and love the media.', 'friends_count': 215, 'location': 'England', 'profile_link_color': '0099B9', 'profile_image_url': 'http://pbs.twimg.com/profile_images/534076979893387264/yGDL1Lrx_normal.jpeg', 'following': False, 'geo_enabled': True, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/18770158/1420483572', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme4/bg.gif', 'name': 'Sabina Ahmed', 'lang': 'en', 'profile_background_tile': False, 'favourites_count': 706, 'screen_name': 'sabaone', 'notifications': False, 'url': 'http://t.co/9OwFICIrcX', 'created_at': 'Thu Jan 08 17:06:52 +0000 2009', 'contributors_enabled': False, 'time_zone': 'London', 'protected': False, 'default_profile': False, 'is_translator': False}",,16973333,,en,Wed Jan 07 11:16:31 +0000 2015,,552785375161499649,"{'full_name': 'South West, England', 'url': 'https://api.twitter.com/1.1/geo/id/25d3e991f5637f5a.json', 'country': 'United Kingdom', 'place_type': 'admin', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.36850399906372, 49.8824720005481], [-1.48573420014269, 49.8824720005481], [-1.48573420014269, 52.1125420344225], [-6.36850399906372, 52.1125420344225]]]}, 'contained_within': [], 'country_code': 'GB', 'attributes': {}, 'id': '25d3e991f5637f5a', 'name': 'South West'}",,
,False,"Nowhere is safe anymore? ""@independent",552785375161499649,552785877748158464,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",False,,"{'symbols': [], 'user_mentions': [{'id': 16973333, 'indices': [26, 38], 'id_str': '16973333', 'screen_name': 'Independent', 'name': 'The Independent'}], 'hashtags': [], 'urls': []}",Independent,552785877748158464,0,16973333,False,"{'follow_request_sent': False, 'profile_use_background_image': True, 'profile_text_color': '333333', 'default_profile_image': False, 'id': 593253537, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'verified': False, 'profile_location': None, 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/566224500279099393/aIIgGmMh_normal.jpeg', 'profile_sidebar_fill_color': 'DDEEF6', 'entities': {'url': {'urls': [{'url': 'http://t.co/W0kUVctAL9', 'indices': [0, 22], 'expanded_url': 'http://Chelseafc.com', 'display_url': 'Chelseafc.com'}]}, 'description': {'urls': []}}, 'followers_count': 267, 'profile_sidebar_border_color': 'C0DEED', 'id_str': '593253537', 'profile_background_color': 'C0DEED', 'listed_count': 1, 'is_translation_enabled': False, 'utc_offset': 0, 'statuses_count': 17386, 'description': 'Chelseafc | Mourinhoist | KTBFFH | Shoot A Ball Not A Gun.', 'friends_count': 623, 'location': 'Nigeria', 'profile_link_color': '0084B4', 'profile_image_url': 'http://pbs.twimg.com/profile_images/566224500279099393/aIIgGmMh_normal.jpeg', 'following': False, 'geo_enabled': False, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/593253537/1412691424', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'name': 'McJude', 'lang': 'en', 'profile_background_tile': False, 'favourites_count': 72, 'screen_name': 'AgbaJude', 'notifications': False, 'url': 'http://t.co/W0kUVctAL9', 'created_at': 'Mon May 28 23:48:30 +0000 2012', 'contributors_enabled': False, 'time_zone': 'London', 'protected': False, 'default_profile': True, 'is_translator': False}",,16973333,,en,Wed Jan 07 11:16:38 +0000 2015,,552785375161499649,,,
